firstName,lastName,login,email
Novak,Djokovic,novak.djokovic@tennis.net,novak.djokovic@tennis.net
Daniil,Medvedev,daniil.medvedev@tennis.net,daniil.medvedev@tennis.net
Rafael,Nadal,rafael.nadal@tennis.net,rafael.nadal@tennis.net
Stefanos,Tsitsipas,stefanos.tsitsipas@tennis.net,stefanos.tsitsipas@tennis.net
Alexander,Zverev,alexander.zverev@tennis.net,alexander.zverev@tennis.net
Dominic,Thiem,dominic.thiem@tennis.net,dominic.thiem@tennis.net
Andrey,Rublev,andrey.rublev@tennis.net,andrey.rublev@tennis.net
Roger,Federer,roger.federer@tennis.net,roger.federer@tennis.net
Matteo,Berrettini,matteo.berrettini@tennis.net,matteo.berrettini@tennis.net
Diego,Schwartzman,diego.schwartzman@tennis.net,diego.schwartzman@tennis.net
Pablo,Carreno Busta,pablo.carrenobusta@tennis.net,pablo.carrenobusta@tennis.net
Gael,Monfils,gael.monfils@tennis.net,gael.monfils@tennis.net
Denis,Shapovalov,denis.shapovalov@tennis.net,denis.shapovalov@tennis.net
Roberto,Bautista Agut,roberto.bautistaagut@tennis.net,roberto.bautistaagut@tennis.net
David,Goffin,david.goffin@tennis.net,david.goffin@tennis.net
Fabio,Fognini,fabio.fognini@tennis.net,fabio.fognini@tennis.net
Grigor,Dimitrov,grigor.dimitrov@tennis.net,grigor.dimitrov@tennis.net
Felix,Auger-Aliassime,felix.augeraliassime@tennis.net,felix.augeraliassime@tennis.net
Caspar,Ruud,caspar.ruud@tennis.net,caspar.ruud@tennis.net
Stan,Wawrinka,stan.wawrinka@tennis.net,stan.wawrinka@tennis.net
Jiri,Vesely,jiri.vesely@tennis.net,jiri.vesely@tennis.net
Marton,Fucsovics,marton.fucsovics@tennis.net,marton.fucsovics@tennis.net
Cameron,Norrie,cameron.norrie@tennis.net,cameron.norrie@tennis.net
Yasutaka,Uchiyama,yasutaka.uchiyama@tennis.net,yasutaka.uchiyama@tennis.net
Federico,Delbonis,federico.delbonis@tennis.net,federico.delbonis@tennis.net
Radu,Albot,radu.albot@tennis.net,radu.albot@tennis.net
Jordan,Thompson,jordan.thompson@tennis.net,jordan.thompson@tennis.net
Marcos,Giron,marcos.giron@tennis.net,marcos.giron@tennis.net
Yoshihito,Nishioka,yoshihito.nishioka@tennis.net,yoshihito.nishioka@tennis.net
Joao,Sousa,joao.sousa@tennis.net,joao.sousa@tennis.net
Filip,Krajinovic,filip.krajinovic@tennis.net,filip.krajinovic@tennis.net
Lloyd,Harris,lloyd.harris@tennis.net,lloyd.harris@tennis.net
Federico,Coria,federico.coria@tennis.net,federico.coria@tennis.net
Soonwoo,Kwon,soonwoo.kwon@tennis.net,soonwoo.kwon@tennis.net
Emil,Ruusuvuori,emil.ruusuvuori@tennis.net,emil.ruusuvuori@tennis.net
Salvatore,Caruso,salvatore.caruso@tennis.net,salvatore.caruso@tennis.net
Pedro,Martinez,pedro.martinez@tennis.net,pedro.martinez@tennis.net
Marco,Cecchinato,marco.cecchinato@tennis.net,marco.cecchinato@tennis.net
Sebastian,Korda,sebastian.korda@tennis.net,sebastian.korda@tennis.net
Miomir,Kecmanovic,miomir.kecmanovic@tennis.net,miomir.kecmanovic@tennis.net
Lorenzo,Sonego,lorenzo.sonego@tennis.net,lorenzo.sonego@tennis.net
Federico,Coria,federico.coria@tennis.net,federico.coria@tennis.net
Aljaz,Bedene,aljaz.bedene@tennis.net,aljaz.bedene@tennis.net
John,Millman,john.millman@tennis.net,john.millman@tennis.net
Pablo,Andujar,pablo.andujar@tennis.net,pablo.andujar@tennis.net
Cameron,Norrie,cameron.norrie@tennis.net,cameron.norrie@tennis.net
Albert,Ramos-Vinolas,albert.ramosvinolas@tennis.net,albert.ramosvinolas@tennis.net
Egor,Gerasimov,egor.gerasimov@tennis.net,egor.gerasimov@tennis.net
Laslo,Djere,laslo.djere@tennis.net,laslo.djere@tennis.net
Jaume,Munar,jaume.munar@tennis.net,jaume.munar@tennis.net
Federico,Delbonis,federico.delbonis@tennis.net,federico.delbonis@tennis.net
Mikhail,Kukushkin,mikhail.kukushkin@tennis.net,mikhail.kukushkin@tennis.net
Jimi,Hendrix,jimi.hendrix@guitar.net,jimi.hendrix@guitar.net
Eric,Clapton,eric.clapton@guitar.net,eric.clapton@guitar.net
Jimmy,Page,jimmy.page@guitar.net,jimmy.page@guitar.net
Eddie,Van Halen,eddie.vanhalen@guitar.net,eddie.vanhalen@guitar.net
Stevie,Ray Vaughan,stevie.vaughan@guitar.net,stevie.vaughan@guitar.net
Carlos,Santana,carlos.santana@guitar.net,carlos.santana@guitar.net
David,Gilmour,david.gilmour@guitar.net,david.gilmour@guitar.net
Slash,slash@guitar.net,slash@guitar.net
Keith,Richards,keith.richards@guitar.net,keith.richards@guitar.net
B.B.,King,bb.king@guitar.net,bb.king@guitar.net
Angus,Young,angus.young@guitar.net,angus.young@guitar.net
Eddie,Clapton,eddie.clapton@guitar.net,eddie.clapton@guitar.net
Joni,Mitchell,joni.mitchell@guitar.net,joni.mitchell@guitar.net
Steve,Vai,steve.vai@guitar.net,steve.vai@guitar.net
Mark,Knopfler,mark.knopfler@guitar.net,mark.knopfler@guitar.net
Brian,May,brian.may@guitar.net,brian.may@guitar.net
George,Harrison,george.harrison@guitar.net,george.harrison@guitar.net
Joe,Satriani,joe.satriani@guitar.net,joe.satriani@guitar.net
Eddie,Hazel,eddie.hazel@guitar.net,eddie.hazel@guitar.net
Duane,Allman,duane.allman@guitar.net,duane.allman@guitar.net
Jeff,Beck,jeff.beck@guitar.net,jeff.beck@guitar.net
Ritchie,Blackmore,ritchie.blackmore@guitar.net,ritchie.blackmore@guitar.net
Kurt,Cobain,kurt.cobain@guitar.net,kurt.cobain@guitar.net
John,Frusciante,john.frusciante@guitar.net,john.frusciante@guitar.net
Keith,Urban,keith.urban@guitar.net,keith.urban@guitar.net
Pete,Townshend,pete.townshend@guitar.net,pete.townshend@guitar.net
Neil,Young,neil.young@guitar.net,neil.young@guitar.net
Nile,Rodgers,nile.rodgers@guitar.net,nile.rodgers@guitar.net
Chet,Atkins,chet.atkins@guitar.net,chet.atkins@guitar.net
Jeff,Lynne,jeff.lynne@guitar.net,jeff.lynne@guitar.net
Johnny,Marr,johnny.marr@guitar.net,johnny.marr@guitar.net
Alex,Lifeson,alex.lifeson@guitar.net,alex.lifeson@guitar.net
Buddy,Guy,buddy.guy@guitar.net,buddy.guy@guitar.net
Kirk,Hammett,kirk.hammett@guitar.net,kirk.hammett@guitar.net
Tom,Hanks,tom.hanks@cinema.net,tom.hanks@cinema.net
Leonardo,DiCaprio,leonardo.dicaprio@cinema.net,leonardo.dicaprio@cinema.net
Meryl,Streep,meryl.streep@cinema.net,meryl.streep@cinema.net
Brad,Pitt,brad.pitt@cinema.net,brad.pitt@cinema.net
Denzel,Washington,denzel.washington@cinema.net,denzel.washington@cinema.net
Julia,Roberts,julia.roberts@cinema.net,julia.roberts@cinema.net
Johnny,Depp,johnny.depp@cinema.net,johnny.depp@cinema.net
Robert,De Niro,robert.deniro@cinema.net,robert.deniro@cinema.net
Morgan,Freeman,morgan.freeman@cinema.net,morgan.freeman@cinema.net
Jennifer,Lawrence,jennifer.lawrence@cinema.net,jennifer.lawrence@cinema.net
Tom,Cruise,tom.cruise@cinema.net,tom.cruise@cinema.net
Scarlett,Johansson,scarlett.johansson@cinema.net,scarlett.johansson@cinema.net
Will,Smith,will.smith@cinema.net,will.smith@cinema.net
Natalie,Portman,natalie.portman@cinema.net,natalie.portman@cinema.net
Al,Pacino,al.pacino@cinema.net,al.pacino@cinema.net
Emma,Stone,emma.stone@cinema.net,emma.stone@cinema.net
Robert,Downey Jr.,robert.downeyjr@cinema.net,robert.downeyjr@cinema.net
Charlize,Theron,charlize.theron@cinema.net,charlize.theron@cinema.net
Dwayne,Johnson,dwayne.johnson@cinema.net,dwayne.johnson@cinema.net
